"","obs","study","id","yieldcontrol","yieldcover","SD.EXP.","SD.CON.","Type","N.control.","N.exp.","Dferror","Species","Nitrogen","Years","Tillage","killdate","State","BioOrGrain","authors","pubyear","datayears","Design","Reps","SoilType","corn.cultivar","corn.pl.date.actual","corn.pl.date.julian","corn.hv.date.actual","corn.hv.date.julian","corn.population","corn.growseason.julian","X","cc.cultivar","cc.pl.date.actual","cc.pl.date.julian","cc.pl.method","cc.seed.rate.seeds.ha","cc.seed.rate.kg.ha","cc.kill.date.dbplcorn","cc.kill.date.actual","cc.kill.date.julian","cc.growseason.julian","cc.kill.method","cc.bmass","corn.bmass","cc.rain","corn.rain","cc.temp","corn.temp","cc.nitro.uptake","purpose.study","metaA","region","soiltexture.authors","soiltexture.ours","NFR","KDate","yi","vi"
"1",1,"g1","1b",12.6,12.56,1.28,1.3,"grass",3,3,6,"rye",207,3,"NT",14,"Iowa","grain","Kaspar,Jaynes,Parkin,Moorman,Singer",2012,"2006, 2008, 2010","RCBD",4,"Fine- loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls and mesic Aquic Haplu- dolls","Pioneer34A16_Pioneer34A20_Pioneer34YO3","5/6/2016",124,"10/11/2016",293,79000,169,"","maton","8/29/2016",241,"drilling",2500000,62,13,"",NA,NA,"chemical",0.555,NA,451,861,3.88,18.97,57.833,"Nitrate loss reduction in drainage water","G","north central","fine","medium","high","early",-0.00317965291737957,0.00701027186969178
"2",2,"g1","1c",12.6,11.96,1.27,1.3,"grass",3,3,6,"oat",207,3,"NT",14,"Iowa","grain","Kaspar,Jaynes,Parkin,Moorman,Singer",2012,"2006, 2008, 2010","RCBD",4,"Fine- loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls and mesic Aquic Haplu- dolls","Pioneer34A16_Pioneer34A20_Pioneer34YO3","5/6/2016",124,"10/11/2016",293,79000,169,"","jerry","10/13/2016",286,"interseeding",3700000,86,0,"4/23/2016",124,192,"winterfrost",0.195,NA,461,861,10.2,18.97,23.866,"Nitrate loss reduction in drainage water","G","north central","fine","medium","high","early",-0.0521290654349466,0.00730691316792099
"3",3,"g2","2b",7.31,7.3,0.51,1.016,"grass",2,2,71,"rye",160,2,"NT",35,"Illinois","grain","Crandall,Ruffo,Bollero",2005,"2001, 2002","Split split",4,"Fine-silty, mixed, superactive, mesic Typic Endoquoll","Dekalb DKC 60-17","5/15/2016",135,"10/2/2016",275,74100,140,"","unstated","10/14/2016",283,"drilling",3603600,90,36,"4/9/2016",99,181,"chemical",0.675,6.9,440,607.5,4.14,19.45,25.2,"Kill date and Nitrogen Management during corn season","G","north central","fine","medium fine","mid","early",-0.00136892560734162,0.0120992090630098
"4",4,"g2","2c",7.31,7.1,0.51,1.016,"grass",2,2,71,"rye",160,2,"NT",28,"Illinois","grain","Crandall,Ruffo,Bollero",2005,"2001, 2002","Split split",4,"Fine-silty, mixed, superactive, mesic Typic Endoquoll","Dekalb DKC 60-17","5/15/2016",135,"10/2/2016",275,74100,140,"","unstated","10/14/2016",283,"drilling",3603600,90,26,"4/19/2016",109,191,"chemical",1.365,6.89,440,607.5,4.14,19.45,52.6,"Kill date and Nitrogen Management during corn season","G","north central","fine","medium fine","mid","early",-0.0291484897144174,0.0122386339902782
"5",5,"g2","2d",7.31,6.42,0.51,1.016,"grass",2,2,71,"rye",160,2,"NT",15,"Illinois","grain","Crandall,Ruffo,Bollero",2005,"2001, 2002","Split split",4,"Fine-silty, mixed, superactive, mesic Typic Endoquoll","Dekalb DKC 60-17","5/15/2016",135,"10/2/2016",275,74100,140,"","unstated","10/14/2016",283,"drilling",3603600,90,18,"4/27/2016",117,199,"chemical",2.475,5.93,440,607.5,4.14,19.45,67.05,"Kill date and Nitrogen Management during corn season","G","north central","fine","medium fine","mid","early",-0.129825156059817,0.0128140861273693
"6",6,"g3","3b",5.7,6.9,0,0.42,"legume",2,2,18,"sunn hemp",84,3,"CT",NA,"Georgia","grain","Balkcom, Reeves",2005,"1991, 1992, 1993","RCBD",4,"Compass loamy sand","Dekalb 689","4/14/2016",104,"8/19/2016",231,61750,127,"","tropic sunn","8/22/2016",234,"drilling",1848000,56,264,"11/28/2016",205,98,"winterfrost",7.6,NA,380,520,17.77,23.13,144,"Legume alternatives for cover cropping in corn","G","south east","coarse","coarse","low",NA,0.191055236762709,0.00271468144044321
"7",7,"g4","4b",7.59,8.39,0.75,0.14,"grass",3,3,6,"rye",112,3,"CT",12,"Wisconsin","grain","Bundy, Andraski",2005,"1996, 1997, 1998","Split split",4,"Mixed, mesic, typic Udipsamment","Dekalb 493","5/7/2016",127,"9/15/2016",258,79000,111,"","spooner","9/18/2016",261,"drilling",5005000,125,12,"4/25/2016",115,219,"mechanical",5.0254,14.69,374.66,346.6,3,18.51,13.36,"Nitrogen fixing","G","north central","coarse","coarse","mid","mid",0.100208929071576,0.00277706115441339
"8",8,"g4","4c",8.42,9.33,0.7,0.37,"grass",3,3,6,"rye",112,3,"CT",12,"Wisconsin","grain","Bundy, Andraski",2005,"1996, 1997, 1998","Split split",4,"Mixed, mesic, typic Udipsamment","Dekalb 493","5/7/2016",127,"9/15/2016",258,79000,111,"","spooner","9/18/2016",261,"drilling",5005000,125,12,"4/25/2016",115,219,"mechanical",5.0254,14.69,374.66,346.6,3,18.51,13.36,"Nitrogen fixing","G","north central","coarse","coarse","mid","mid",0.102625186605017,0.00252000221110859
"9",9,"g5","5b",10.18,9.71,0.91,0.29,"grass",2,2,23,"rye",168,2,"NT",15,"Iowa","grain","Singer, Cambardella, Moorman",2008,"2006, 2007","RCBD",4,"Fine-loamy, mixed, superactive, calcareous, mesic, Typic Endoaquolls","Dekalb DKC 59-08","5/4/2016",124,"10/7/2016",280,81510,156,"","maton_jerry","9/4/2016",247,"interseeding",2600000,65,15,"4/19/2016",109,227,"chemical",0.8235,NA,NA,NA,NA,21.3,31.66,"Enhancing nutrients by doubling CC","G","north central","fine","medium","mid","early",-0.047268728819143,0.00479727571461084
"10",10,"g5","5c",11.62,10.58,0.69,0.32,"grass",2,2,23,"rye",101,2,"NT",15,"Iowa","grain","Singer, Cambardella, Moorman",2008,"2006, 2007","RCBD",4,"Fine-loamy, mixed, superactive, calcareous, mesic, Typic Endoaquolls","Dekalb DKC 59-08","5/4/2016",124,"10/7/2016",280,81510,156,"","maton_jerry","9/4/2016",247,"interseeding",2600000,65,15,"4/19/2016",109,227,"chemical",1.8235,NA,NA,NA,NA,21.3,31.66,"Enhancing nutrients by doubling CC","G","north central","fine","medium","mid","early",-0.0937623249936118,0.00250584478831912
